area,address,number,price,date,property_type,geocode,full_address
Coolroe,The Close,40,305000,2020-01-21,Second-Hand,"51.885279789132504, -8.622716969745719","40 The Close, Coolroe"
Rosewood,Rosewood Estate,118,292500,2020-01-20,Second-Hand,"51.88865181082447, -8.575978970851866","118 Rosewood Estate, Rosewood"
Church View,Churchview,7,240000,2020-01-17,Second-Hand,"51.88549636879165, -8.592625889887055","7 Churchview, Church View"
Old Quarter,Leslies Arch,91,330500,2020-01-15,Second-Hand,"51.89008441064981, -8.590014945710507","91 Leslies Arch, Old Quarter"
Old Quarter,Leslies Arch,73,390000,2020-01-14,Second-Hand,"51.89008441064981, -8.590014945710507","73 Leslies Arch, Old Quarter"
Westcourt,Westcourt Heights,92,300000,2020-01-08,Second-Hand,"51.88681255417706, -8.616295628522487","92 Westcourt Heights, Westcourt"
Manor Hill,Manor Hill,35,255000,2019-06-25,Second-Hand,"51.89121035709487, -8.575907457357648","35 Manor Hill, Manor Hill"
Muskerry Estate,Castle Avenue,12,255000,2020-06-12,Second-Hand,"51.885514844369936, -8.596310161258103","12 Castle Avenue, Muskerry Estate"
Old Quarter,Coopers Grange,4,539125,2020-06-05,New Build,"51.89008441064981, -8.590014945710507","4 Coopers Grange, Old Quarter"
The Crescent,The Crescent,35,375000,2020-06-04,New Build,"51.88974689003794, -8.592724974545812","35 The Crescent, The Crescent"
Maglin,Maglin Green,4,377983,2020-06-02,New Build,"51.88135112776452, -8.59523805920491","4 Maglin Green, Maglin"
The Maltings,Distillery Court,19,211000,2020-05-29,Second-Hand,"51.88503727921537, -8.591352822622822","19 Distillery Court, The Maltings"
Old Quarter,Coopers Grange,5,476161,2020-05-29,New Build,"51.89008441064981, -8.590014945710507","5 Coopers Grange, Old Quarter"
An Caislean,An Caislean Drive,31,240000,2020-05-21,Second-Hand,"51.88419579207018, -8.604721941977742","31 An Caislean Drive, An Caislean"
Greenfields,Tuain Glas,46,225000,2020-11-27,Second-Hand,"51.87941701969475, -8.620193493581136","46 Tuain Glas, Greenfields"
An Caislean,An Caislean,60,255600,2020-11-26,Second-Hand,"51.88419579207018, -8.604721941977742","60 An Caislean, An Caislean"
Carrigrohanebeg,The Willows,182,268000,2020-11-19,Second-Hand,"51.89309917070151, -8.580849757357647","182 The Willows, Carrigrohanebeg"
Old Quarter,Millers Court,82,375000,2020-11-17,Second-Hand,"51.89008441064981, -8.590014945710507","82 Millers Court, Old Quarter"
Beech Park,Cranford Pines,27,290000,2020-11-13,Second-Hand,"51.884462825784524, -8.586660730369518","27 Cranford Pines, Beech Park"
Greystones,Greystones,48,285000,2020-11-12,Second-Hand,"51.88708566318779, -8.572495537963082","48 Greystones, Greystones"
Heathfield,The Avenue,31,379999,2020-11-09,New Build,"51.88275370396547, -8.57522707085204","31 The Avenue, Heathfield"
Maglin,Maglin Drive,6,400000,2020-11-06,Second-Hand,"51.88135112776452, -8.59523805920491","6 Maglin Drive, Maglin"
Station Road,Tudor Grove,1a,357500,2021-03-26,Second-Hand,"51.885856656204545, -8.590996730369481","1a Tudor Grove, Station Road"
Maglin,Maglin Green,13,394999,2021-03-23,New Build,"51.88135112776452, -8.59523805920491","13 Maglin Green, Maglin"
Mukerry Estate,Castle Avenue,56,300000,2021-03-23,Second-Hand,"51.88554133320571, -8.596438907281483","56 Castle Avenue, Mukerry Estate"
Carrigrohanebeg,The Willows,188,268000,2021-03-23,Second-Hand,"51.89309917070151, -8.580849757357647","188 The Willows, Carrigrohanebeg"
An Caislean,Caislean Close,24,252500,2021-03-23,Second-Hand,"51.88419579207018, -8.604721941977742","24 Caislean Close, An Caislean"
Maglin,Maglin Green,8,339999,2021-03-19,New Build,"51.88135112776452, -8.59523805920491","8 Maglin Green, Maglin"
An Caislean,An Caislean Way,108,302000,2021-03-19,Second-Hand,"51.88419579207018, -8.604721941977742","108 An Caislean Way, An Caislean"
The Maltings,Granary Court,20,210000,2021-03-19,Second-Hand,"51.88503727921537, -8.591352822622822","20 Granary Court, The Maltings"
Glendower Court,Glendower Court,61,300000,2021-03-16,Second-Hand,"51.89097713659068, -8.579260601534097","61 Glendower Court, Glendower Court"
Coolroe,The Lawn,65,325000,2021-03-16,Second-Hand,"51.885279789132504, -8.622716969745719","65 The Lawn, Coolroe"
Old Quarter,Coopers Grange,35,392710,2019-10-16,New Build,"51.89008441064981, -8.590014945710507","35 Coopers Grange, Old Quarter"
Coolroe,The Lawn,33,267500,2019-10-10,Second-Hand,"51.885279789132504, -8.622716969745719","33 The Lawn, Coolroe"
The Cloisters,The Cloisters,2,270000,2019-10-04,Second-Hand,"51.88453436126935, -8.578108099687265","2 The Cloisters, The Cloisters"
Wyndham Downs,Wyndham Downs,30,325000,2019-10-02,Second-Hand,"51.88594295587414, -8.620296147557605","30 Wyndham Downs, Wyndham Downs"
Old Quarter,The Cresent,7,370000,2019-10-02,New Build,"51.89008441064981, -8.590014945710507","7 The Cresent, Old Quarter"
Old Quarter,Coopers Grange Old Quarter,74,315000,2019-09-30,Second-Hand,"51.89008441064981, -8.590014945710507","74 Coopers Grange Old Quarter, Old Quarter"
Classis Lake,The Sycamores,10,260000,2020-01-06,Second-Hand,"51.88586099008718, -8.62822296864587","10 The Sycamores, Classis Lake"
Coolroe,The Vale,7,488000,2019-12-20,Second-Hand,"51.885279789132504, -8.622716969745719","7 The Vale, Coolroe"
Town Center,Time Square,12b,140000,2019-12-19,Second-Hand,"51.8878563321983, -8.600737381727024","12b Time Square, Town Center"
Heathfield,The Avenue,3,380000,2019-12-19,New Build,"51.88275370396547, -8.57522707085204","3 The Avenue, Heathfield"
Coolroe,The Green,51,331000,2019-12-18,Second-Hand,"51.885279789132504, -8.622716969745719","51 The Green, Coolroe"
Old Quarter,The Cresent,11,260000,2019-12-17,Second-Hand,"51.89008441064981, -8.590014945710507","11 The Cresent, Old Quarter"
Shalimar Court,Shalimar Court,11,269000,2020-05-18,Second-Hand,"51.88896130535807, -8.578969730369383","11 Shalimar Court, Shalimar Court"
Old Quarter,Leslies Arch,64,233000,2020-05-13,Second-Hand,"51.89008441064981, -8.590014945710507","64 Leslies Arch, Old Quarter"
Maglin,Maglin Green,5,385000,2020-05-08,New Build,"51.88135112776452, -8.59523805920491","5 Maglin Green, Maglin"
Classis Lake,Berryfield,8,350000,2020-05-08,Second-Hand,"51.88586099008718, -8.62822296864587","8 Berryfield, Classis Lake"
Beech Park,Beech Park,70,232000,2020-05-07,Second-Hand,"51.884462825784524, -8.586660730369518","70 Beech Park, Beech Park"
Coolroe,Coolroe Heights,12,282000,2020-04-28,Second-Hand,"51.885279789132504, -8.622716969745719","12 Coolroe Heights, Coolroe"
Aylsbury,Aylsbury Lawn,1,387000,2020-04-24,Second-Hand,"51.88284449037205, -8.620440916875388","1 Aylsbury Lawn, Aylsbury"
Manor Hill,Manor Hill,20,320000,2020-04-24,Second-Hand,"51.89121035709487, -8.575907457357648","20 Manor Hill, Manor Hill"
Old Quarter,Leslies Arch,34,400000,2020-04-15,Second-Hand,"51.89008441064981, -8.590014945710507","34 Leslies Arch, Old Quarter"
Old Quarter,Millers Court,27,550000,2020-04-15,Second-Hand,"51.89008441064981, -8.590014945710507","27 Millers Court, Old Quarter"
Old Quarter,Coopers Grange,8,452925,2020-11-05,New Build,"51.89008441064981, -8.590014945710507","8 Coopers Grange, Old Quarter"
Beech Park,Beech Park,91,245000,2020-10-23,Second-Hand,"51.884462825784524, -8.586660730369518","91 Beech Park, Beech Park"
Maglin,Maglin Green,12,395000,2020-10-22,New Build,"51.88135112776452, -8.59523805920491","12 Maglin Green, Maglin"
Old Quarter,Leslies Arch,41,252500,2020-10-22,Second-Hand,"51.89008441064981, -8.590014945710507","41 Leslies Arch, Old Quarter"
Coolroe,Coolroe Heights,27,350000,2020-10-21,Second-Hand,"51.885279789132504, -8.622716969745719","27 Coolroe Heights, Coolroe"
Old Quarter,Coopers Grange,29,400000,2020-10-21,New Build,"51.89008441064981, -8.590014945710507","29 Coopers Grange, Old Quarter"
The Crescent,The Crescent,24,385000,2020-10-15,Second-Hand,"51.88974689003794, -8.592724974545812","24 The Crescent, The Crescent"
Classis Lake,The Oaks,23,400000,2021-03-16,Second-Hand,"51.88586099008718, -8.62822296864587","23 The Oaks, Classis Lake"
Coolroe,Coolroe Heights,32,282000,2021-03-08,Second-Hand,"51.885279789132504, -8.622716969745719","32 Coolroe Heights, Coolroe"
The Quadrants,North East,125,182500,2021-03-02,Second-Hand,"51.8890702782036, -8.589706799326772","125 North East, The Quadrants"
Rosewood,Rosewood,9,320000,2021-03-01,Second-Hand,"51.88865181082447, -8.575978970851866","9 Rosewood, Rosewood"
Rosewood,Rosewood,10,277000,2021-02-26,Second-Hand,"51.88865181082447, -8.575978970851866","10 Rosewood, Rosewood"
Shalimar Court,Shalimar Court,10,220000,2020-04-14,Second-Hand,"51.88896130535807, -8.578969730369383","10 Shalimar Court, Shalimar Court"
Westcourt,Westcourt,67,377000,2020-04-09,Second-Hand,"51.88681255417706, -8.616295628522487","67 Westcourt, Westcourt"
